房子标题,小区名字,小区地址,相关信息,房价总价/万,每平方价格
美杜兰两房一厅 满五唯一红本在手 地铁口 靓房,美杜兰华庭 ,布吉街,2室1厅 | 66.8平米 | 西南 | 简装 | 中楼层(共18层) | 2005年建 | 板塔结合,275,41168
星河丹堤经典小复式，看山景，看小区园景，保养好,星河丹堤 ,梅林关,4室2厅 | 180.71平米 | 西北 东北 | 简装 | 低楼层(共29层) | 2008年建 | 板塔结合,1350,74706
大单间  是住宅 楼下有沃尔玛 有公园 双地铁  总价低,东方瑞景苑 ,龙岗双龙,1室0厅 | 32.27平米 | 南 | 精装 | 中楼层(共23层) | 2011年建 | 板塔结合,110,34088
公务员社区，一梯两户，地铁口200米，满五年红本,创业一村 ,新安,3室2厅 | 101.72平米 | 东南 | 简装 | 低楼层(共7层) | 2003年建 | 板塔结合,790,77665
大运片区 爱联地铁口标准大三房  南北通透 随时可看,雅庭名苑 ,龙岗中心城,3室1厅 | 98.99平米 | 东南 西北 | 精装 | 中楼层(共7层) | 2004年建 | 板塔结合,369,37277
此房满五年唯一，中高楼层，采光好，近地铁交通方便。,俊峰丽舍 ,西丽,2室1厅 | 77.4平米 | 东北 | 精装 | 高楼层(共18层) | 2004年建 | 板塔结合,670,86564
东门步行街少有在售双阳台三房，户型方正，诚心出售,世濠大厦 ,东门,3室1厅 | 103.26平米 | 北 | 简装 | 中楼层(共17层) | 2002年建 | 板塔结合,469,45420
华茂苑 公园旁的家 业主诚心出售 看中可谈,华茂苑 ,梅林,3室1厅 | 91.5平米 | 南 | 简装 | 中楼层(共8层) | 1997年建 | 板楼,570,62296
公园里双地铁  东南小三房 诚心出售,皇庭彩园 ,皇岗,3室1厅 | 76.8平米 | 东南 | 精装 | 低楼层(共33层) | 2003年建 | 板塔结合,660,85938
此房满五，红本在手，户型实用，高层景观，诚意出售,名骏豪庭 ,莲塘,2室1厅 | 69.8平米 | 西北 | 精装 | 高楼层(共28层) | 2003年建 | 板塔结合,365,52293
房子满五年唯一 格局好通风好 中间楼层 带花园小区,星桂园 ,地王,1室0厅 | 26.19平米 | 东 | 精装 | 中楼层(共20层) | 2004年建 | 板塔结合,170,64911
房子是满五唯一精装修的业主自住保养很好看房方便,信和花园 ,布吉大芬,2室2厅 | 73.47平米 | 东南 | 精装 | 中楼层(共8层) | 1997年建 | 塔楼,265,36070
灵芝地铁口 电梯大三房 全新装修 可拎包入住,汉宝大厦 ,新安,3室1厅 | 89.3平米 | 东南 | 精装 | 中楼层(共11层) | 1992年建 | 板塔结合,518,58007
稀有户型看花园精装3房2卫，满5唯一，可拎包入住,珑禧 ,龙岗中心城,3室1厅 | 86.75平米 | 西南 | 精装 | 低楼层(共10层) | 2015年建 | 板塔结合,350,40346
钜建大厦 东南向，正规大两房 高楼层，视野好,钜建大厦 ,后海,2室2厅 | 72.74平米 | 东南 | 精装 | 高楼层(共24层) | 1993年建 | 塔楼,550,75612
下梅林  小两房  业主  诚心  出售,大众公寓 ,梅林,2室1厅 | 47.1平米 | 南 | 简装 | 低楼层(共8层) | 1995年建 | 板楼,305,64756
山海津 精装两房 东北看山安静户型 满五年唯一,山海津 ,蛇口,2室1厅 | 71.4平米 | 东北 | 精装 | 中楼层(共19层) | 2015年建 | 板塔结合,680,95239
